,Position,Department,Institute,location,link,due
195,Open Rank Tenure-Track Faculty Positions at Northeastern University,Khoury College,Northeastern University,"Boston, MA",https://cra.org/job/northeastern-university-open-rank-tenure-track-faculty-positions/,
196,Assistant Professor of Computer Science-Tenure Track,Computer Science,Earlham College,"Richmond, Indiana",https://cra.org/job/earlham-college-assistant-professor-of-computer-science-tenure-track/,
197,Assistant/Associate Professor,Computer Science & Software Engineering,Miami University,"Oxford, Ohio",https://cra.org/job/miami-university-assistant-associate-professor-2/,10/20/2023
198,Assistant Professor – Electrical Engineering & Computer Sciences,Electrical Engineering & Computer Sciences,University of California Berkeley,"Berkeley, California",https://cra.org/job/university-of-california-berkeley-assistant-professor-electrical-engineering-computer-sciences-2/,12/01/2023
199,Open Tenure-track and Tenured Faculty Positions at INSAIT,,"Institute for Computer Science, Artificial Intelligence and Technology (INSAIT)",Anywhere,https://cra.org/job/institute-for-computer-science-artificial-intelligence-and-technology-insait-open-tenure-track-and-tenured-faculty-positions-at-insait/,01/15/2024
200,Assistant Professor in Computer Science,Computer Science,Barnard College,"New York, New York",https://cra.org/job/barnard-college-assistant-professor-in-computer-science-3/,07/01/2024
201,"Tenure-track Assistant Professor, Artificial Intelligence","School of Arts, Media and Engineering",Arizona State University,"Tempe, Arizona",https://cra.org/job/arizona-state-university-tenure-track-assistant-professor-artificial-intelligence/,11/02/2023
202,Assistant Professor – Tenure Track,Computer Science,George Washington University,"Washington, D.C.",https://cra.org/job/george-washington-university-assistant-professor-tenure-track/,11/02/2023
203,Professor of Engineering Practice/Software,Electrical and Computer Engineering,"Purdue University Main Campus - West Lafayette, IN","West Lafayette, Indiana",https://cra.org/job/purdue-university-main-campus-west-lafayette-in-professor-of-engineering-practice-software/,10/30/2023
204,Open Rank Position in Robotics,Computer Science and Engineering,Lehigh University,"Bethlehem, PA",https://cra.org/job/lehigh-university-open-rank-position-in-robotics/,12/31/2023
205,Assistant Professor of Computer Science/Data Science (Tenure Track) & Instructor of Computer Science/Data Science (Non-Tenure Track),Computer Science/Data Science,Luther College,"Decorah, Iowa",https://cra.org/job/luther-college-assistant-professor-of-computer-science-data-science-tenure-track-instructor-of-computer-science-data-science-non-tenure-track/,11/05/2023
206,Assistant Professor of Computer Science,Computer Science,Hamilton College,"Clinton, New York",https://cra.org/job/hamilton-college-assistant-professor-of-computer-science-2/,10/16/2023
207,Tenure-track Positions at all ranks,Computer Science and Engineering,University of South Florida,"Tampa, Florida",https://cra.org/job/university-of-south-florida-tenure-track-positions-at-all-ranks/,
208,Director of the School of Computing,School of Computing,University of North Florida,"Jacksonville, Florida",https://cra.org/job/university-of-north-florida-director-of-the-school-of-computing/,
209,Assistant and Associate Teaching Professor,Paul G. Allen School of Computer Science & Engineering,University of Washington',"Seattle, Washington",https://cra.org/job/paul-g-allen-school-of-computer-science-engineering-assistant-and-associate-teaching-professor/,11/13/2023
210,Tenure Track Assistant Professors & Assistant Professors of Teaching in Computer Science,Computer Science,University of British Columbia,"Vancouver, B.C.",https://cra.org/job/university-of-british-columbia-tenure-track-assistant-professors-assistant-professors-of-teaching-in-computer-science/,07/01/2024
211,Strategic Hiring Initiative Neuroinformatics Cluster Hire,Grainger College of Engineering,University of Illinois Urbana-Champaign,"Urbana, Illinois",https://cra.org/job/university-of-illinois-urbana-champaign-strategic-hiring-initiative-neuroinformatics-cluster-hire/,
212,Assistant Professor in Applied Cryptography and Network/Web Security,School of Computing,University of Georgia,"Athens, Georgia",https://cra.org/job/university-of-georgia-assistant-professor-in-applied-crytography-and-network-web-security/,12/01/2023
213,Tenure-Track Assistant or Associate Professor in Computational Biochemistry/Biology,Department of Biological Sciences,University of North Texas,"Denton, Texas",https://cra.org/job/university-of-north-texas-tenure-track-assistant-or-associate-professor-in-computational-biochemistry-biology/,
214,Teaching Faculty,Electrical and Computer Engineering,Boston University,"Boston, MA",https://cra.org/job/boston-university-teaching-faculty-2/,12/31/2023
215,Two Assistant/Associate Computer Science Faculty Positions (Computer Science & Computer Science Specializing in Cybersecurity),Department of Computer Science,Hofstra University,"Hempstead, New York",https://cra.org/job/hofstra-university-two-assistant-associate-computer-science-faculty-positions-computer-science-computer-science-specializing-in-cybersecurity/,01/15/2024
216,Open Rank Search: Data Science for Health,Computer Science and Engineering,Lehigh University,"Bethlehem, Pennsylvania",https://cra.org/job/lehigh-university-open-rank-search-data-science-for-health/,10/15/2023
217,Open Rank Faculty Position in Electrical and Computer Engineering – VLSI and EDA,Electrical and Computer Engineering,"University of California, Riverside","Riverside, California",https://cra.org/job/university-of-california-riverside-open-rank-faculty-position-in-electrical-and-computer-engineering-vlsi-and-eda/,12/31/2023
218,Assistant Professor in Computer and Software Engineering,Electrical and Computer Engineering,University of British Columbia,"Vancouver, BC",https://cra.org/job/university-of-british-columbia-assistant-professor-in-computer-and-software-engineering/,12/03/2023
219,Assistant Professor of Human Centered Design & Engineering,Human Centered Design & Engineering,University of Washington,"Seattle, Washington",https://cra.org/job/university-of-washington-assistant-professor-of-human-centered-design-engineering-4/,
220,Assistant Professors (Tenure Track) of Computer Science – Computer Systems and Data Management Systems,Department of Computer Science,ETH Zürich,"Zurich, Switzerland",https://cra.org/job/eth-zurich-assistant-professors-tenure-track-of-computer-science-computer-systems-and-data-management-systems/,10/01/2023
221,Assistant Professor in Computer Science,Math and Computer Science,Indiana State University,"Terre Haute, Indiana",https://cra.org/job/indiana-state-university-assistant-professor-in-computer-science/,11/10/2023
222,Assistant Professor in Control and Learning Systems,Electrical and Computer Engineering,University of British Columbia,"Vancouver, BC",https://cra.org/job/university-of-british-columbia-assistant-professor-in-control-and-learning-systems/,12/03/2023
223,Faculty Positions,Electrical Engineering and Computer Science,Massachusetts Institute of Technology,"Cambridge, MA",https://cra.org/job/massachusetts-institute-of-technology-faculty-positions-7/,12/01/2023
224,Assistant Professor of Biomedical Data Science,,Stanford University- School of Medicine,"Stanford, California",https://cra.org/job/stanford-university-school-of-medicine-assistant-professor-of-biomedical-data-science/,
225,"Assistant Professor, Computer Science",Computer Science,Yale University,"New Haven, CT",https://cra.org/job/yale-university-assistant-professor-computer-science-2/,12/15/2023
226,Professors (all ranks) in The School of Computing and Augmented Intelligence,School of Computing and Augmented Intelligence,Arizona State University,"Tempe, Arizona",https://cra.org/job/arizona-state-university-professors-all-ranks-in-the-school-computing-and-augmented-intelligence/,
227,Assistant Professor of Computer Engineering (Tenure Track),School of Engineering and Computer Science,University of the Pacific,"Stockton, California",https://cra.org/job/university-of-the-pacific-assistant-professor-of-computer-engineering-tenure-track/,12/15/2023
228,Assistant of Associate Professor in Accounting,Robert Day School of Economics and Finance,Claremont McKenna College,"Claremont, California",https://cra.org/job/claremont-mckenna-college-assistant-of-associate-professor-in-accounting/,11/01/2023
229,"Lecturer, Assistant/Associate/Full Professor of Practice, Computer Science, College of Engineering and Applied Sciences",Department of Computer Science,Stony Brook University,"Stony Brook, New York",https://cra.org/job/stony-brook-university-lecturer-assistant-associate-full-professor-of-practice-computer-science-college-of-engineering-and-applied-sciences/,
230,Computer Science and Software Engineering Faculty,Electrical Engineering and Computer Science,Milwaukee School of Engineering,"Milwaukee, Wisconsin",https://cra.org/job/milwaukee-school-of-engineering-computer-science-and-software-engineering-faculty-4/,
231,Assistant Professor of Data Science,Data Science,William & Mary,"Williamsburg, Virginia",https://cra.org/job/william-mary-assistant-professor-of-data-science/,08/10/2024
232,Assistant Teaching Professor in Data Science,Data Science,William & Mary,"Williamsburg, Virginia",https://cra.org/job/william-mary-assistant-teaching-professor-in-data-science/,11/10/2023
233,Faculty Positions,Department of Computer Science,National University of Singapore,Singapore,https://cra.org/job/national-university-of-singapore-faculty-positions-2/,12/15/2023
234,Assistant Professor in Forensic Science,School of Interdisciplinary Forensics,Arizona State University,"Glendale, Arizona",https://cra.org/job/arizona-state-university-assistant-professor-in-forensic-science/,10/29/2023
235,Tenure-Track Assistant Professor/Instructor of Computer Science,Computer Science,Franklin & Marshall College,"Lancaster, PA",https://cra.org/job/franklin-marshall-college-tenure-track-assistant-professor-instructor-of-computer-science/,10/31/2023
236,"Assistant Professor, Computer Science, Artificial Intelligence/CS Approaches Against Social Inequities",Department of Computer Science,San Francisco State University,"San Francisco, California",https://cra.org/job/san-francisco-state-university-assistant-professor-computer-science-artificial-intelligence-cs-approaches-against-social-inequities/,08/07/2024
237,SUNY Empire Innovation Program (EIP) Open Rank Professor for AI/ML Healthcare,Binghamton University - Watson Dean's Office,Binghamton University - Thomas J. Watson College of Engineering and Applied Science,"Binghamton, New York",https://cra.org/job/binghamton-university-thomas-j-watson-college-of-engineering-and-applied-science-suny-empire-innovation-program-eip-open-rank-professor-for-ai-ml-healthcare/,
238,Assistant/Associate/Full Professor of Computer Science,"School of Science and Engineering - Division of Computing, Analytics & Mathematics",University of Missouri - Kansas City,"Kansas City, Missouri",https://cra.org/job/university-of-missouri-kansas-city-assistant-associate-full-professor-of-computer-science/,
239,Assistant/Associate Professor – School of Computing,School of Computing,University of Nebraska Lincoln,"Lincoln, Nebraska",https://cra.org/job/university-of-nebraska-lincoln-assistant-associate-professor-school-of-computing/,11/01/2023
240,Open Rank Tenure-Track Faculty Position(s),Computer Science,Rowan University,"Glassboro, New Jersey",https://cra.org/job/rowan-university-open-rank-tenure-track-faculty-positions/,10/16/2023
241,Assistant Professor of Teaching in Electrical and Computer Engineering 23-24,Department of Electrical and Computer Engineering,University of California Davis,"Davis, California",https://cra.org/job/university-of-california-davis-assistant-professor-of-teaching-in-electrical-and-computer-engineering-23-24/,11/01/2023
242,Assistant Professor (Tenure Track) and/or Lecturer (Instructional Track) of Computer Science,Computer Science,University of Iowa,"Iowa City, Iowa",https://cra.org/job/university-of-iowa-assistant-professor-tenure-track-and-or-lecturer-instructional-track-of-computer-science-2/,01/01/2024
243,Faculty Positions,Computer Science,Rice University,"Houston, Texas",https://cra.org/job/rice-university-faculty-positions/,
244,Teaching Track Faculty – Computer Science,Computer Science,University of Illinois Chicago,"Chicago, Illinois",https://cra.org/job/university-of-illinois-chicago-teaching-track-faculty-computer-science-2/,
245,Assistant or Associate Professor in Computer Science,Computer Science,Colorado State University,"Fort Collins, Colorado",https://cra.org/job/colorado-state-university-assistant-or-associate-professor-in-computer-science-3/,
246,Tenure-Track Assistant Professor of Computer Science and Engineering,Computer Science and Engineering,Santa Clara University,"Santa Clara, California",https://cra.org/job/santa-clara-university-tenure-track-assistant-professor-of-computer-science-and-engineering-4/,12/15/2023
247,Professor of the Practice Faculty Positions in Computer Science,Computer Science,Boston College,"Chestnut Hill, Massachusetts",https://cra.org/job/boston-college-professor-of-the-practice-faculty-positions-in-computer-science/,
248,Junior and Senior Faculty Positions,Electrical and Computer Engineering,University of Michigan,"Ann Arbor, Michigan",https://cra.org/job/university-of-michigan-junior-and-senior-faculty-positions/,
249,Assistant/Associate/Full Professor of Cyber Studies,School of Cyber Studies,University of Tulsa,"Tulsa, Oklahoma",https://cra.org/job/university-of-tulsa-assistant-associate-full-professor-of-cyber-studies/,
250,Open Rank Tenure Track Faculty Positions – Health Data Science,Biostatistics & Bioinformatics,Duke University School of Medicine,"Durham, NC",https://cra.org/job/duke-university-school-of-medicine-open-rank-tenure-track-faculty-positions-health-data-science/,12/01/2023
251,Assistant/Associate/Full Professor of Computer Science,Computer Science,Gonzaga University,"Spokane, Washington",https://cra.org/job/gonzaga-university-assistant-associate-full-professor-of-computer-science/,
252,Assistant Professor of Computer Science (Multiple Tenure-Track Positions) (33788),Computer Science,Northern Illinois University,"DeKalb, Illinois",https://cra.org/job/northern-illinois-university-assistant-professor-of-computer-science-multiple-tenure-track-positions-33788/,10/15/2023
253,Developer Educator,Software Engineering,Jane Street,"New York, NY, USA",https://cra.org/job/jane-street-developer-educator/,
254,"Assistant Professor, Computer Science",Computer Science,Michigan Technological University,"Houghton, MI",https://cra.org/job/michigan-technological-university-assistant-professor-computer-science/,11/27/2023
255,Tenure-Track Faculty Positions in Computer Science,Computer Science,University of Rochester,"Rochester, New York",https://cra.org/job/university-of-rochester-tenure-track-faculty-positions-in-computer-science/,01/01/2024
256,Tenure-Track Faculty Position,Computer and Information Science,University of Mississippi,"Oxford, MS",https://cra.org/job/university-of-mississippi-tenure-track-faculty-position/,
257,Assistant Professor of Cyber Security,Department of Computer Science and Engineering,University of Tennessee at Chattanooga,"Chattanooga, Tennessee",https://cra.org/job/university-of-tennessee-at-chattanooga-assistant-professor-of-cyber-security-2/,10/15/2023
258,Professor of Digital and Computational Studies,Digital and Computational Studies,Bates College,"Lewiston, Maine",https://cra.org/job/bates-college-professor-of-digital-and-computational-studies/,08/01/2024
259,The Grainger College of Engineering: Teaching Faculty (Open Rank) Electrical and Computer Engineering,Electrical and Computer Engineering,University of Illinois Urbana-Champaign,"Urbana-Champaign, Illinois",https://cra.org/job/university-of-illinois-urbana-champaign-the-grainger-college-of-engineering-teaching-faculty-open-rank-electrical-and-computer-engineering-2/,02/09/2024
260,Tenure-Track Assistant Professor (multiple posts),Department of Computer Science,The University of Hong Kong,Hong Kong,https://cra.org/job/the-university-of-hong-kong-tenure-track-assistant-professor-multiple-posts/,
261,Assistant Professor in Computer Science,Computer Science,Binghamton University,"Binghamton, New York",https://cra.org/job/binghamton-university-computer-science-dept-assistant-professor-in-computer-science/,01/01/2024
262,CSE @ TAMU Academic Professional Faculty – Galveston,Computer Science and Engineering,Texas A&M University,"College Station, Texas",https://cra.org/job/texas-am-university-cse-tamu-multiple-faculty-positions-3/,12/01/2023
263,The Grainger College of Engineering: Faculty (Open Rank) Electrical and Computer Engineering,Electrical and Computer Engineering,University of Illinois Urbana-Champaign,"Urbana-Champaign, IL",https://cra.org/job/university-of-illinois-urbana-champaign-the-grainger-college-of-engineering-faculty-open-rank-electrical-and-computer-engineering/,12/01/2023
264,"Open Rank Faculty Positions (Full, Associate, or Assistant Professor) in Interdisciplinary Data Scie",Center for Statistics and Machine Learning,Princeton University,"Princeton, New Jersey",https://cra.org/job/princeton-university-open-rank-faculty-positions-full-associate-or-assistant-professor-in-interdisciplinary-data-scie/,12/01/2023
265,"Open Rank, Science, Technology, Engineering, and Mathematics","Academics - Center for Science, Technology, Engineering, and Mathematics (CSTEM)",UATX,"Austin, Texas",https://cra.org/job/uatx-open-rank-science-technology-engineering-and-mathematics/,11/15/2023
266,"Tenure-Track, Assistant or Associate Professor; Data Analytics","Finance, Economics, & Data Analytics",University of North Alabama,"Florence, Alabama",https://cra.org/job/university-of-north-alabama-tenure-track-assistant-or-associate-professor-data-analytics/,
267,Assistant/Associate Professor of Computing (multiple),School of Computing,Grand Valley State University,"Allendale, MI",https://cra.org/job/grand-valley-state-university-assistant-associate-professor-of-computing-multiple/,
268,Assistant/Associate Professor Tenure Track (multiple),Department of Computer Science and Technology,Kean University,"Union, New Jersey",https://cra.org/job/kean-university-assistant-associate-professor-tenure-track-multiple/,10/16/2023
269,Two Computer Science Assistant/Associate Professors,Computer Science,Texas Christian University,"Fort Worth, Texas",https://cra.org/job/texas-christian-university-two-computer-science-assistant-associate-professors/,
270,Tenure-Track Position in Computer Science,Computer Science,Colby College,"Waterville, Maine",https://cra.org/job/colby-college-tenure-track-position-in-computer-science-2/,10/14/2023
271,Assistant Professor – Computer Science Department,Seidenberg School of Computer Science and Information Systems,Pace University,"New York City, New York",https://cra.org/job/pace-university-seidenberg-school-of-computer-science-and-information-systems-assistant-professor-computer-science-department/,
272,Assistant Professors of Computer Science,Department of Computer Science,Randolph-Macon College,"Ashland, Virginia",https://cra.org/job/randolph-macon-college-assistant-professors-of-computer-science/,10/16/2023
273,"Lecturer/Senior Lecturer, Computer Science",Computer Science,Yale University,"New Haven, CT",https://cra.org/job/yale-university-lecturer-senior-lecturer-computer-science/,11/15/2023
274,All levels of tenure-track (Assistant/Associate Professor) and tenured (Associate/Full Professor) positions,The School of Computer Science,Peking University,"Beijing,China",https://cra.org/job/peking-university-all-levels-of-tenure-track-assistant-associate-professor-and-tenured-associate-full-professor-positions-3/,
275,"Assistant Professor, Stanford Data Science",Data Science and Department of Statistics,Stanford University,"Stanford, California",https://cra.org/job/stanford-university-assistant-professor-stanford-data-science/,
276,Baruch College – Assistant or Associate Professor – Mathematics,Department of Mathematics,Baruch College,"New York City, New York",https://cra.org/job/baruch-college-assistant-or-associate-professor-mathematics/,10/01/2022
277,Multiple Assistant Professor Positions,Department of Electrical Engineering and Computer Science,Florida Atlantic University,"Boca Raton, Florida",https://cra.org/job/florida-atlantic-university-multiple-assistant-professor-positions/,
278,Multiple Faculty Positions at All Ranks,Computer Science,Illinois Institute of Technology,"Chicago, Illinois",https://cra.org/job/illinois-institute-of-technology-multiple-faculty-positions-at-all-ranks/,
279,Assistant Professor of Computer Science,Comptuter Science,University of North Carolina at Greensboro,"Greensboro, North Carolina",https://cra.org/job/university-of-north-carolina-at-greensboro-assistant-professor-of-computer-science/,08/01/2024
280,"Assistant Teaching Professor, Computer Science",Department of Computer Science,Michigan Technological University,"Houghton, Michigan",https://cra.org/job/michigan-tech-university-assistant-teaching-professor-computer-science/,
281,Multiple Faculty Positions at Computer Science and Engineering,Computer Science and Engineering,University at Buffalo,"Buffalo, New York",https://cra.org/job/university-at-buffalo-multiple-faculty-positions-at-computer-science-and-engineering/,10/01/2024
282,"Assistant Professor in Applied Algebra (Cryptography, Coding Theory, and Quantum Computing)",Mathematics & Statistics,University of South Florida,"Tampa, Florida",https://cra.org/job/university-of-south-florida-assistant-professor-in-applied-algebra-cryptography-coding-theory-and-quantum-computing/,11/15/2023
283,Multiple Faculty Positions: Computer Science and Engineering Department,Computer Science and Engineering,University of Notre Dame,"Notre Dame, Indiana",https://cra.org/job/university-of-notre-dame-multiple-faculty-positions-computer-science-and-engineering-department/,11/03/2023
284,CSE @ TAMU Academic Professional Faculty – College Station,Computer Science and Engineering,Texas A&M University,"College Station, Texas",https://cra.org/job/cse-tamu-cse-tamu-academic-professional-track-faculty-positions-college-station/,12/15/2023
285,CSE @ TAMU Academic Professional Track Faculty Positions – Galveston,Computer Science and Engineering,Texas A&M University,"Galveston, Texas",https://cra.org/job/texas-am-university-cse-tamu-academic-professional-track-faculty-positions-galveston/,12/15/2023
286,"Assistant Professor of Computer Science, Tenure Track",Computer Science Department,Vassar College,"Poughkeepsie, New York",https://cra.org/job/vassar-college-assistant-professor-of-computer-science-tenure-track/,10/16/2023
287,Open Rank Faculty Position in Electrical and Computer Engineering – Superconducting Quantum Electronics,Electrical and Computer Engineering,"University of California, Riverside","Riverside, California",https://cra.org/job/university-of-california-riverside-open-rank-faculty-position-in-electrical-and-computer-engineering-superconducting-quantum-electronics/,12/01/2023
288,AI and Machine Learning Assistant Professor,College of Information Science and Technology,University of Nebraska at Omaha,"Omaha, Nebraska",https://cra.org/job/university-of-nebraska-at-omaha-ai-and-machine-learning-assistant-professor/,
289,"Multiple Faculty Positions – Computer Science, Software Engineering, Cybersecurity, and Data Science",Department of Computer Science,Baylor University,"Waco, Texas",https://cra.org/job/baylor-university-multiple-faculty-positions-computer-science-software-engineering-cybersecurity-and-data-science-2/,12/01/2023
290,Assistant/Associate Professor,Computer Science/Data Science,The University of Memphis,"Memphis, TN",https://cra.org/job/the-university-of-memphis-assistant-associate-professor/,11/01/2023
291,Assistant/Associate/Full Professors – Scientific Software and AI for the Chemical Sciences,Departments of Statistics,University of California Berkeley,"Berkeley, California",https://cra.org/job/university-of-california-berkeley-assistant-associate-full-professors-scientific-software-and-ai-for-the-chemical-sciences/,10/31/2023
